code,id,name
A000,1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE"
A001,2,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR"
A009,3,COLERA NO ESPECIFICADO
A010,4,FIEBRE TIFOIDEA
A011,5,FIEBRE PARATIFOIDEA A
A012,6,FIEBRE PARATIFOIDEA B
A013,7,FIEBRE PARATIFOIDEA C
A014,8,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA"
A020,9,ENTERITIS DEBIDA A SALMONELLA
A021,10,SEPTICEMIA DEBIDA A SALMONELLA
A022,11,INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA
A028,12,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029,13,INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA
A030,14,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031,15,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032,16,SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033,17,SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038,18,OTRAS SHIGELOSIS
A039,19,SHIGELOSIS DE TIPO NO ESPECIFICADO
A040,20,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041,21,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042,22,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043,23,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044,24,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045,25,ENTERITIS DEBIDA A CAMPYLOBACTER
A046,26,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047,27,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048,28,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049,29,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA"
A050,30,INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051,31,BOTULISMO
A052,32,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053,33,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054,34,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058,35,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059,36,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA"
A060,37,DISENTERIA AMEBIANA AGUDA
A061,38,AMEBIASIS INTESTINAL CRONICA
A062,39,COLITIS AMEBIANA NO DISENTERICA
A063,40,AMEBOMA INTESTINAL
A064,41,ABSCESO AMEBIANO DEL HIGADO
A065,42,ABSCESO AMEBIANO DEL PULMON (J99.8*)
A066,43,ABSCESO AMEBIANO DEL CEREBRO (G07*)
A067,44,AMEBIASIS CUTANEA
A068,45,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A069,46,"AMEBIASIS, NO ESPECIFICADA"
A070,47,BALANTIDIASIS
A071,48,GIARDIASIS [LAMBLIASIS]
A072,49,CRIPTOSPORIDIOSIS
A073,50,ISOSPORIASIS
A078,51,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079,52,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA"
A080,53,ENTERITIS DEBIDA A ROTAVIRUS
A081,54,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A082,55,ENTERITIS DEBIDA A ADENOVIRUS
A083,56,OTRAS ENTERITIS VIRALES
A084,57,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION"
A085,58,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A09,59,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A150,60,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO"
A151,61,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO"
A152,62,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE"
A153,63,"TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS"
A154,64,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A155,65,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A156,66,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A157,67,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A158,68,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE"
A159,69,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE"
A160,70,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS"
A161,71,"TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO"
A162,72,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
A163,73,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
A164,74,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
A165,75,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA"
A167,76,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA"
A168,77,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION"
A169,78,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA"
A170,79,MENINGITIS TUBERCULOSA (G01*)
A171,80,TUBERCULOMA MENINGEO (G07*)
A178,81,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179,82,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)"
A180,83,TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181,84,TUBERCULOSIS DEL APARATO GENITOURINARIO
A182,85,LINFADENOPATIA PERIFERICA TUBERCULOSA
A183,86,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS"
A184,87,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A185,88,TUBERCULOSIS DEL OJO
A186,89,TUBERCULOSIS DEL OIDO
A187,90,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)
A188,91,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A190,92,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191,93,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192,94,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA"
A198,95,OTRAS TUBERCULOSIS MILIARES
A199,96,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION"
A200,97,PESTE BUBONICA
A201,98,PESTE CELULOCUTANEA
A202,99,PESTE NEUMONICA
A203,100,MENINGITIS POR PESTE
A207,101,PESTE SEPTICEMICA
A208,102,OTRAS FORMAS DE PESTE
A209,103,"PESTE, NO ESPECIFICADA"
A210,104,TULAREMIA ULCEROGLANDULAR
A211,105,TULAREMIA OCULOGLANDULAR
A212,106,TULAREMIA PULMONAR
A213,107,TULAREMIA GASTROINTESTINAL
A217,108,TULAREMIA GENERALIZADA
A218,109,OTRAS FORMAS DE TULAREMIA
A219,110,"TULAREMIA , NO ESPECIFICADA"
A220,111,CARBUNCO CUTANEO
A221,112,CARBUNCO PULMONAR
A222,113,CARBUNCO GASTROINTESTINAL
A227,114,CARBUNCO SEPTICEMICO
A228,115,OTRAS FORMAS DE CARBUNCO
A229,116,"CARBUNCO, NO ESPECIFICADO"
A230,117,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231,118,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232,119,BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233,120,BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238,121,OTRAS BRUCELOSIS
A239,122,"BRUCELOSIS, NO ESPECIFICADA"
A240,123,MUERMO
A241,124,MELIOIDOSIS AGUDA Y FULMINANTE
A242,125,MELIOIDOSIS SUBAGUDA Y CRONICA
