id,certificate_number,fecha_inicio_vigencia,fecha_fin_periodo
1,20,2021-01-20,2022-01-20
2,25,2021-02-03,2022-02-03
3,21,2021-02-16,2022-02-16
4,13,2021-03-13,2022-03-13
5,10,2021-05-26,2022-05-26
6,23,2021-05-31,2022-05-31
7,4,2021-06-23,2022-06-23
8,14,2021-07-05,2022-07-05
9,8,2021-07-09,2022-07-09
10,22,2021-07-18,2022-07-18
11,5,2021-07-21,2022-07-21
12,1,2021-07-27,2022-07-27
13,15,2021-08-09,2022-08-09
14,12,2021-08-11,2022-08-11
15,18,2021-09-08,2022-09-08
16,9,2021-09-21,2022-09-21
17,19,2021-10-08,2022-10-08
18,17,2021-10-29,2022-10-29
19,6,2021-11-11,2022-11-11
20,3,2021-11-17,2022-11-17
21,7,2021-11-22,2022-11-22
22,2,2021-12-08,2022-12-08
23,16,2021-12-14,2022-12-14
24,11,2021-12-17,2022-12-17
25,24,2021-12-29,2022-12-29
26,27,2022-01-06,2023-01-06
27,29,2022-01-11,2023-01-11
28,41,2022-01-16,2023-01-16
29,15,2022-01-21,2023-01-21
30,4,2022-01-31,2023-01-31
31,6,2022-02-07,2023-02-07
32,1,2022-02-11,2023-02-11
33,38,2022-03-24,2023-03-24
34,21,2022-04-06,2023-04-06
35,7,2022-04-07,2023-04-07
36,3,2022-04-10,2023-04-10
37,13,2022-04-11,2023-04-11
38,10,2022-04-16,2023-04-16
39,50,2022-04-22,2023-04-22
40,33,2022-04-28,2023-04-28
41,14,2022-05-06,2023-05-06
42,18,2022-05-11,2023-05-11
43,22,2022-05-14,2023-05-14
44,34,2022-05-18,2023-05-18
45,24,2022-05-18,2023-05-18
46,37,2022-05-24,2023-05-24
47,17,2022-05-29,2023-05-29
48,42,2022-06-11,2023-06-11
49,28,2022-06-12,2023-06-12
50,36,2022-06-14,2023-06-14
51,43,2022-06-24,2023-06-24
52,11,2022-07-02,2023-07-02
53,32,2022-07-04,2023-07-04
54,26,2022-07-06,2023-07-06
55,6,2022-07-08,2023-07-08
56,9,2022-07-13,2023-07-13
57,1,2022-07-14,2023-07-14
58,10,2022-07-14,2023-07-14
59,4,2022-07-20,2023-07-20
60,39,2022-07-22,2023-07-22
61,7,2022-07-23,2023-07-23
62,11,2022-07-25,2023-07-25
63,25,2022-08-08,2023-08-08
64,9,2022-08-19,2023-08-19
65,2,2022-08-24,2023-08-24
66,8,2022-09-13,2023-09-13
67,20,2022-09-16,2023-09-16
68,5,2022-09-17,2023-09-17
69,16,2022-09-25,2023-09-25
70,47,2022-10-03,2023-10-03
71,8,2022-10-04,2023-10-04
72,2,2022-10-11,2023-10-11
73,44,2022-10-18,2023-10-18
74,49,2022-10-21,2023-10-21
75,30,2022-10-21,2023-10-21
76,23,2022-10-24,2023-10-24
77,40,2022-10-24,2023-10-24
78,48,2022-10-29,2023-10-29
79,5,2022-11-05,2023-11-05
80,19,2022-11-11,2023-11-11
81,46,2022-11-12,2023-11-12
82,12,2022-11-16,2023-11-16
83,3,2022-11-16,2023-11-16
84,31,2022-11-16,2023-11-16
85,45,2022-11-29,2023-11-29
86,35,2022-12-15,2023-12-15
87,12,2022-12-22,2023-12-22
88,70,2023-01-02,2024-01-02
89,63,2023-01-03,2024-01-03
90,48,2023-01-12,2024-01-12
91,12,2023-01-29,2024-01-29
92,47,2023-02-07,2024-02-07
93,51,2023-02-18,2024-02-18
94,33,2023-02-18,2024-02-18
95,4,2023-02-23,2024-02-23
96,3,2023-03-01,2024-02-29
97,16,2023-03-04,2024-03-03
98,15,2023-03-10,2024-03-09
99,34,2023-03-11,2024-03-10
100,7,2023-03-15,2024-03-14
101,67,2023-03-15,2024-03-14
102,61,2023-03-18,2024-03-17
103,26,2023-03-21,2024-03-20
104,6,2023-03-21,2024-03-20
105,13,2023-03-26,2024-03-25
106,43,2023-03-27,2024-03-26
107,17,2023-03-28,2024-03-27
108,58,2023-04-11,2024-04-10
109,44,2023-04-14,2024-04-13
110,66,2023-04-23,2024-04-22
111,22,2023-05-05,2024-05-04
112,64,2023-05-09,2024-05-08
113,50,2023-05-13,2024-05-12
114,52,2023-05-21,2024-05-20
115,53,2023-05-24,2024-05-23
116,57,2023-06-04,2024-06-03
117,24,2023-06-10,2024-06-09
118,31,2023-06-11,2024-06-10
119,69,2023-06-11,2024-06-10
120,21,2023-06-27,2024-06-26
121,32,2023-06-27,2024-06-26
122,30,2023-06-30,2024-06-29
123,25,2023-07-06,2024-07-05
124,42,2023-07-07,2024-07-06
125,28,2023-07-27,2024-07-26
126,45,2023-07-30,2024-07-29
127,46,2023-08-02,2024-08-01
128,2,2023-08-11,2024-08-10
129,54,2023-08-11,2024-08-10
130,27,2023-08-25,2024-08-24
131,59,2023-09-01,2024-08-31
132,36,2023-09-14,2024-09-13
133,60,2023-09-16,2024-09-15
134,35,2023-09-25,2024-09-24
135,65,2023-09-28,2024-09-27
136,9,2023-09-30,2024-09-29
137,1,2023-10-06,2024-10-05
138,11,2023-10-11,2024-10-10
139,29,2023-10-13,2024-10-12
140,38,2023-10-21,2024-10-20
141,5,2023-10-22,2024-10-21
142,40,2023-10-26,2024-10-25
143,41,2023-10-29,2024-10-28
144,39,2023-10-29,2024-10-28
145,20,2023-11-02,2024-11-01
146,62,2023-11-06,2024-11-05
147,37,2023-11-06,2024-11-05
148,23,2023-11-10,2024-11-09
149,49,2023-11-18,2024-11-17
150,68,2023-11-24,2024-11-23
151,14,2023-12-01,2024-11-30
152,8,2023-12-05,2024-12-04
153,19,2023-12-11,2024-12-10
154,55,2023-12-14,2024-12-13
155,56,2023-12-27,2024-12-26
156,18,2023-12-29,2024-12-28
157,10,2023-12-31,2024-12-30
158,74,2024-01-02,2025-01-01
159,82,2024-01-03,2025-01-02
160,1,2024-01-06,2025-01-05
161,98,2024-01-08,2025-01-07
162,23,2024-01-16,2025-01-15
163,84,2024-01-20,2025-01-19
164,36,2024-01-21,2025-01-20
165,49,2024-01-25,2025-01-24
166,88,2024-01-31,2025-01-30
167,41,2024-02-07,2025-02-06
168,67,2024-02-10,2025-02-09
169,31,2024-02-16,2025-02-15
170,85,2024-02-18,2025-02-17
171,63,2024-02-28,2025-02-27
172,76,2024-03-10,2025-03-10
173,45,2024-03-16,2025-03-16
174,3,2024-03-18,2025-03-18
175,95,2024-03-20,2025-03-20
176,43,2024-03-26,2025-03-26
177,75,2024-03-30,2025-03-30
178,71,2024-04-04,2025-04-04
179,33,2024-04-05,2025-04-05
180,24,2024-04-12,2025-04-12
181,50,2024-04-17,2025-04-17
182,68,2024-04-20,2025-04-20
183,19,2024-04-23,2025-04-23
184,70,2024-04-27,2025-04-27
185,46,2024-04-30,2025-04-30
186,66,2024-05-01,2025-05-01
187,20,2024-05-02,2025-05-02
188,15,2024-05-04,2025-05-04
189,37,2024-05-05,2025-05-05
190,87,2024-05-09,2025-05-09
191,35,2024-05-18,2025-05-18
192,39,2024-05-30,2025-05-30
193,100,2024-05-30,2025-05-30
194,78,2024-06-01,2025-06-01
195,38,2024-06-02,2025-06-02
196,27,2024-06-04,2025-06-04
197,53,2024-06-04,2025-06-04
198,55,2024-06-05,2025-06-05
199,56,2024-06-07,2025-06-07
200,69,2024-06-08,2025-06-08
201,91,2024-06-11,2025-06-11
202,62,2024-06-15,2025-06-15
203,26,2024-06-16,2025-06-16
204,64,2024-06-19,2025-06-19
205,6,2024-06-21,2025-06-21
206,32,2024-06-27,2025-06-27
